(-12.94| 2.22| 2.31)
(-14.09| 1.37| 2.16)
(-15.54| 1.52| 2.01)
(-12.94| 1.22| 5.56)
(-14.09| 1.37| 5.41)
(-15.54| 1.52| 5.26)
(-12.94| 1.22| -4.19)
(-14.09| 1.37| -4.34)
(-15.54| 1.52| -4.49)
(-12.94| 1.22| -0.94)
(-14.09| 1.37| -1.09)
(-15.54| 1.52| -1.24)
(-12.94| 1.22| -10.69)
(-14.09| 1.37| -10.84)
(-15.54| 1.52| -10.99)
(-12.94| 1.22| -7.44)
(-14.09| 1.37| -7.59)
(-15.54| 1.52| -7.74)
(-12.94| 1.22| -17.44)
(-14.09| 1.37| -17.59)
(-15.54| 1.52| -17.74)
(-12.94| 1.22| -14.19)
(-14.09| 1.37| -14.34)
(-15.54| 1.52| -14.49)
(-12.94| 1.22| -23.69)
(-14.09| 1.37| -23.84)
(-15.54| 1.52| -23.99)
(-12.94| 1.22| -20.44)
(-14.09| 1.37| -20.59)
(-15.54| 1.52| -20.74)
(-8.15| 1.22| -24.56)
(-8.00| 1.37| -25.71)
(-7.85| 1.52| -27.16)
(-12.94| 1.22| -26.69)
(-14.09| 1.37| -26.84)
(-15.54| 1.52| -26.99)
(-12.94| 1.22| 8.81)
(-14.09| 1.37| 8.66)
(-15.54| 1.52| 8.51)
(-2.84| 1.22| -20.79)
(-1.69| 1.37| -20.64)
(-0.24| 1.52| -20.49)
(-2.84| 1.22| -24.04)
(-1.69| 1.37| -23.89)
(-0.24| 1.52| -23.74)
(-2.84| 1.22| -14.29)
(-1.69| 1.37| -14.14)
(-0.24| 1.52| -13.99)
(-2.84| 1.22| -17.54)
(-1.69| 1.37| -17.39)
(-0.24| 1.52| -17.24)
(-2.84| 1.22| -7.79)
(-1.69| 1.37| -7.64)
(-0.24| 1.52| -7.49)
(-2.84| 1.22| -11.04)
(-1.69| 1.37| -10.89)
(-0.24| 1.52| -10.74)
(-2.84| 1.22| -1.04)
(-1.69| 1.37| -0.89)
(-0.24| 1.52| -0.74)
(-2.84| 1.22| -4.29)
(-1.69| 1.37| -4.14)
(-0.24| 1.52| -3.99)
(-2.84| 1.22| 5.21)
(-1.69| 1.37| 5.36)
(-0.24| 1.52| 5.51)
(-2.84| 1.22| 1.96)
(-1.69| 1.37| 2.11)
(-0.24| 1.52| 2.26)
(-2.84| 1.22| 8.21)
(-1.69| 1.37| 8.36)
(-0.24| 1.52| 8.51)
(-2.84| 1.22| -27.29)
(-1.69| 1.37| -27.14)
(-0.24| 1.52| -26.99)
(-8.15| 1.22| -17.81)
(-8.00| 1.37| -18.96)
(-7.85| 1.52| -20.41)
(-8.15| 1.22| -11.06)
(-8.00| 1.37| -12.21)
(-7.85| 1.52| -13.66)
(-8.15| 1.22| -4.06)
(-8.00| 1.37| -5.21)
(-7.85| 1.52| -6.66)
(-8.15| 1.22| 2.69)
(-8.00| 1.37| 1.54)
(-7.85| 1.52| 0.09)
(-8.15| 1.22| 8.94)
(-8.00| 1.37| 7.79)
(-7.85| 1.52| 6.34)
